Freq.	Vn002/Vn003(dB, phi)
1.43879857825583e-003	3.69164629439774e+000	8.88426985309434e+001
1.44211535152486e-003	3.71163820023436e+000	8.88400313925249e+001
1.44543977074592e-003	3.73163006869397e+000	8.88373581106765e+001
1.44877185354475e-003	3.75162189971279e+000	8.88346786712938e+001
1.45211161758773e-003	3.77161369304071e+000	8.88319930601686e+001
1.45545908058195e-003	3.79160544846023e+000	8.88293012631926e+001
1.45881426027534e-003	3.81159716580300e+000	8.88266032660323e+001
1.46217717445671e-003	3.83158884504803e+000	8.88238990544832e+001
1.46554784095590e-003	3.85158048580394e+000	8.88211886143326e+001
1.46892627764385e-003	3.87157208804369e+000	8.88184719311560e+001
1.47231250243271e-003	3.89156365150276e+000	8.88157489906415e+001
1.47570653327588e-003	3.91155517607869e+000	8.88130197783225e+001
1.47910838816819e-003	3.93154666149811e+000	8.88102842798970e+001
1.48251808514594e-003	3.95153810764820e+000	8.88075424808239e+001
1.48593564228699e-003	3.97152951436002e+000	8.88047943667075e+001
1.48936107771090e-003	3.99152088139315e+000	8.88020399229503e+001
1.49279440957898e-003	4.01151220858256e+000	8.87992791349338e+001
1.49623565609442e-003	4.03150349583670e+000	8.87965119882185e+001
1.49968483550236e-003	4.05149474276318e+000	8.87937384681383e+001
1.50314196609001e-003	4.07148594943382e+000	8.87909585599737e+001
1.50660706618673e-003	4.09147711550410e+000	8.87881722491717e+001
1.51008015416413e-003	4.11146824078399e+000	8.87853795208610e+001
1.51356124843619e-003	4.13145932512147e+000	8.87825803603636e+001
1.51705036745932e-003	4.15145036832226e+000	8.87797747528116e+001
1.52054752973248e-003	4.17144137021284e+000	8.87769626835590e+001
1.52405275379728e-003	4.19143233059321e+000	8.87741441375994e+001
1.52756605823806e-003	4.21142324925139e+000	8.87713191000597e+001
1.53108746168202e-003	4.23141412599529e+000	8.87684875560466e+001
1.53461698279928e-003	4.25140496068382e+000	8.87656494906012e+001
1.53815464030302e-003	4.27139575309903e+000	8.87628048887077e+001
1.54170045294954e-003	4.29138650299362e+000	8.87599537353807e+001
1.54525443953840e-003	4.31137721026469e+000	8.87570960155516e+001
1.54881661891247e-003	4.33136787460516e+000	8.87542317140798e+001
1.55238700995807e-003	4.35135849586640e+000	8.87513608159375e+001
1.55596563160506e-003	4.37134907388466e+000	8.87484833057894e+001
1.55955250282694e-003	4.39133960841672e+000	8.87455991685139e+001
1.56314764264094e-003	4.41133009929696e+000	8.87427083889823e+001
1.56675107010813e-003	4.43132054632756e+000	8.87398109518389e+001
1.57036280433354e-003	4.45131094924661e+000	8.87369068417562e+001
1.57398286446620e-003	4.47130130794532e+000	8.87339960434201e+001
1.57761126969933e-003	4.49129162214130e+000	8.87310785414546e+001
1.58124803927037e-003	4.51128189156487e+000	8.87281543205112e+001
1.58489319246110e-003	4.53127211615922e+000	8.87252233650098e+001
1.58854674859776e-003	4.55126229569240e+000	8.87222856595634e+001
1.59220872705115e-003	4.57125242986686e+000	8.87193411886852e+001
1.59587914723672e-003	4.59124251854899e+000	8.87163899367955e+001
1.59955802861465e-003	4.61123256150739e+000	8.87134318882257e+001
1.60324539069002e-003	4.63122255851918e+000	8.87104670275480e+001
1.60694125301286e-003	4.65121250935603e+000	8.87074953388908e+001
1.61064563517825e-003	4.67120241388769e+000	8.87045168066751e+001
1.61435855682647e-003	4.69119227179457e+000	8.87015314151787e+001
1.61808003764305e-003	4.71118208296100e+000	8.86985391486141e+001
1.62181009735891e-003	4.73117184708141e+000	8.86955399911525e+001
1.62554875575047e-003	4.75116156399179e+000	8.86925339269948e+001
1.62929603263970e-003	4.77115123342865e+000	8.86895209402084e+001
1.63305194789432e-003	4.79114085528259e+000	8.86865010149941e+001
1.63681652142779e-003	4.81113042920992e+000	8.86834741352987e+001
1.64058977319952e-003	4.83111995506460e+000	8.86804402852502e+001
1.64437172321491e-003	4.85110943257039e+000	8.86773994487451e+001
1.64816239152549e-003	4.87109886151334e+000	8.86743516097371e+001
1.65196179822900e-003	4.89108824175562e+000	8.86712967521557e+001
1.65576996346951e-003	4.91107757292503e+000	8.86682348598262e+001
1.65958690743754e-003	4.93106685493086e+000	8.86651659166968e+001
1.66341265037015e-003	4.95105608749212e+000	8.86620899064508e+001
1.66724721255104e-003	4.97104527035743e+000	8.86590068129233e+001
1.67109061431069e-003	4.99103440331969e+000	8.86559166197820e+001
1.67494287602642e-003	5.01102348615607e+000	8.86528193107921e+001
1.67880401812254e-003	5.03101251864320e+000	8.86497148694719e+001
1.68267406107045e-003	5.05100150051191e+000	8.86466032795368e+001
1.68655302538872e-003	5.07099043159299e+000	8.86434845245144e+001
1.69044093164324e-003	5.09097931156954e+000	8.86403585879819e+001
1.69433780044731e-003	5.11096814025206e+000	8.86372254534446e+001
1.69824365246172e-003	5.13095691737553e+000	8.86340851042966e+001
1.70215850839493e-003	5.15094564274240e+000	8.86309375240351e+001
1.70608238900310e-003	5.17093431613634e+000	8.86277826960040e+001
1.71001531509027e-003	5.19092293725002e+000	8.86246206035936e+001
1.71395730750840e-003	5.21091150587113e+000	8.86214512300843e+001
1.71790838715757e-003	5.23090002173854e+000	8.86182745587292e+001
1.72186857498599e-003	5.25088848461311e+000	8.86150905727851e+001
1.72583789199018e-003	5.27087689433369e+000	8.86118992554467e+001
1.72981635921508e-003	5.29086525056169e+000	8.86087005899039e+001
1.73380399775412e-003	5.31085355309253e+000	8.86054945592208e+001
1.73780082874935e-003	5.33084180161443e+000	8.86022811465206e+001
1.74180687339159e-003	5.35082999596157e+000	8.85990603348485e+001
1.74582215292048e-003	5.37081813580472e+000	8.85958321071401e+001
1.74984668862464e-003	5.39080622097238e+000	8.85925964464733e+001
1.75388050184174e-003	5.41079425121352e+000	8.85893533356063e+001
1.75792361395867e-003	5.43078222616813e+000	8.85861027576541e+001
1.76197604641161e-003	5.45077014567506e+000	8.85828446952734e+001
1.76603782068614e-003	5.47075800944946e+000	8.85795791313399e+001
1.77010895831740e-003	5.49074581723619e+000	8.85763060486587e+001
1.77418948089014e-003	5.51073356880921e+000	8.85730254299051e+001
1.77827941003890e-003	5.53072126390156e+000	8.85697372577865e+001
1.78237876744807e-003	5.55070890217829e+000	8.85664415149688e+001
1.78648757485203e-003	5.57069648345531e+000	8.85631381840284e+001
1.79060585403527e-003	5.59068400739704e+000	8.85598272475914e+001
1.79473362683250e-003	5.61067147385802e+000	8.85565086881524e+001
1.79887091512876e-003	5.63065888247286e+000	8.85531824882404e+001
1.80301774085954e-003	5.65064623301054e+000	8.85498486302812e+001
1.80717412601090e-003	5.67063352518299e+000	8.85465070966954e+001
1.81134009261958e-003	5.69062075875333e+000	8.85431578698204e+001
1.81551566277311e-003	5.71060793344035e+000	8.85398009320172e+001
1.81970085860996e-003	5.73059504894558e+000	8.85364362655884e+001
1.82389570231961e-003	5.75058210504648e+000	8.85330638528284e+001
1.82810021614272e-003	5.77056910143559e+000	8.85296836758286e+001
1.83231442237119e-003	5.79055603782621e+000	8.85262957168830e+001
1.83653834334832e-003	5.81054291391329e+000	8.85228999580172e+001
1.84077200146893e-003	5.83052972955726e+000	8.85194963814403e+001
1.84501541917945e-003	5.85051648430716e+000	8.85160849690913e+001
1.84926861897805e-003	5.87050317799599e+000	8.85126657030291e+001
1.85353162341479e-003	5.89048981027701e+000	8.85092385652375e+001
1.85780445509167e-003	5.91047638090116e+000	8.85058035375914e+001
1.86208713666284e-003	5.93046288962321e+000	8.85023606020177e+001
1.86637969083464e-003	5.95044933612327e+000	8.84989097403621e+001
1.87068214036577e-003	5.97043572002004e+000	8.84954509344200e+001
1.87499450806739e-003	5.99042204118334e+000	8.84919841659233e+001
1.87931681680324e-003	6.01040829923729e+000	8.84885094166140e+001
1.88364908948977e-003	6.03039449391243e+000	8.84850266681886e+001
1.88799134909627e-003	6.05038062488928e+000	8.84815359022070e+001
1.89234361864495e-003	6.07036669190053e+000	8.84780371003979e+001
1.89670592121112e-003	6.09035269464148e+000	8.84745302442053e+001
1.90107827992327e-003	6.11033863282000e+000	8.84710153151629e+001
1.90546071796322e-003	6.13032450614375e+000	8.84674922947067e+001
1.90985325856621e-003	6.15031031431913e+000	8.84639611643490e+001
1.91425592502106e-003	6.17029605700055e+000	8.84604219054528e+001
1.91866874067026e-003	6.19028173396841e+000	8.84568744992814e+001
1.92309172891013e-003	6.21026734484736e+000	8.84533189272187e+001
1.92752491319091e-003	6.23025288934901e+000	8.84497551704667e+001
1.93196831701689e-003	6.25023836718131e+000	8.84461832103056e+001
1.93642196394658e-003	6.27022377803632e+000	8.84426030278181e+001
1.94088587759275e-003	6.29020912156371e+000	8.84390146042244e+001
1.94536008162263e-003	6.31019439755995e+000	8.84354179205495e+001
1.94984459975802e-003	6.33017960554015e+000	8.84318129578119e+001
1.95433945577536e-003	6.35016474541458e+000	8.84281996970942e+001
1.95884467350596e-003	6.37014981671241e+000	8.84245781193010e+001
1.96336027683602e-003	6.39013481909447e+000	8.84209482053027e+001
1.96788628970681e-003	6.41011975233841e+000	8.84173099360762e+001
1.97242273611482e-003	6.43010461609058e+000	8.84136632923956e+001
1.97696964011183e-003	6.45008941002700e+000	8.84100082549625e+001
1.98152702580507e-003	6.47007413385166e+000	8.84063448046769e+001
1.98609491735734e-003	6.49005878719942e+000	8.84026729220529e+001
1.99067333898716e-003	6.51004336980547e+000	8.83989925879093e+001
1.99526231496885e-003	6.53002788123697e+000	8.83953037827547e+001
1.99986186963271e-003	6.55001232123462e+000	8.83916064871535e+001
2.00447202736513e-003	6.56999668954018e+000	8.83879006816567e+001
2.00909281260870e-003	6.58998098567756e+000	8.83841863467502e+001
2.01372424986236e-003	6.60996520940318e+000	8.83804634627986e+001
2.01836636368153e-003	6.62994936035179e+000	8.83767320102470e+001
2.02301917867824e-003	6.64993343827895e+000	8.83729919694520e+001
2.02768271952125e-003	6.66991744271052e+000	8.83692433206552e+001
2.03235701093619e-003	6.68990137336432e+000	8.83654860441312e+001
2.03704207770569e-003	6.70988522992037e+000	8.83617201200786e+001
2.04173794466950e-003	6.72986901205644e+000	8.83579455286671e+001
2.04644463672464e-003	6.74985271934058e+000	8.83541622499877e+001
2.05116217882553e-003	6.76983635149306e+000	8.83503702641699e+001
2.05589059598411e-003	6.78981990814747e+000	8.83465695512117e+001
2.06062991326997e-003	6.80980338901668e+000	8.83427600910767e+001
2.06538015581050e-003	6.82978679367871e+000	8.83389418637058e+001
2.07014134879101e-003	6.84977012179008e+000	8.83351148489929e+001
2.07491351745488e-003	6.86975337299028e+000	8.83312790268046e+001
2.07969668710366e-003	6.88973654697227e+000	8.83274343768762e+001
2.08449088309725e-003	6.90971964336347e+000	8.83235808790510e+001
2.08929613085401e-003	6.92970266182064e+000	8.83197185129589e+001
2.09411245585086e-003	6.94968560186501e+000	8.83158472582754e+001
2.09893988362349e-003	6.96966846330206e+000	8.83119670946456e+001
2.10377843976644e-003	6.98965124570780e+000	8.83080780016295e+001
2.10862814993325e-003	7.00963394868528e+000	8.83041799587479e+001
2.11348903983661e-003	7.02961657188710e+000	8.83002729454036e+001
2.11836113524847e-003	7.04959911501361e+000	8.82963569411237e+001
2.12324446200018e-003	7.06958157753712e+000	8.82924319252735e+001
2.12813904598268e-003	7.08956395920805e+000	8.82884978771600e+001
2.13304491314654e-003	7.10954625970793e+000	8.82845547761035e+001
2.13796208950220e-003	7.12952847849058e+000	8.82806026012574e+001
2.14289060112002e-003	7.14951061532964e+000	8.82766413319167e+001
2.14783047413050e-003	7.16949266974769e+000	8.82726709471906e+001
2.15278173472434e-003	7.18947464142592e+000	8.82686914261887e+001
2.15774440915263e-003	7.20945652997617e+000	8.82647027479163e+001
2.16271852372698e-003	7.22943833500812e+000	8.82607048914657e+001
2.16770410481966e-003	7.24942005610747e+000	8.82566978357472e+001
2.17270117886371e-003	7.26940169292504e+000	8.82526815596035e+001
2.17770977235312e-003	7.28938324504035e+000	8.82486560420424e+001
2.18272991184296e-003	7.30936471209785e+000	8.82446212617443e+001
2.18776162394951e-003	7.32934609369249e+000	8.82405771975438e+001
2.19280493535041e-003	7.34932738943763e+000	8.82365238281248e+001
2.19785987278479e-003	7.36930859891952e+000	8.82324611321510e+001
2.20292646305342e-003	7.38928972176349e+000	8.82283890882959e+001
2.20800473301886e-003	7.40927075750091e+000	8.82243076751148e+001
2.21309470960560e-003	7.42925170592232e+000	8.82202168711119e+001
2.21819641980018e-003	7.44923256639207e+000	8.82161166547517e+001
2.22330989065136e-003	7.46921333857689e+000	8.82120070044729e+001
2.22843514927026e-003	7.48919402211361e+000	8.82078878986684e+001
2.23357222283049e-003	7.50917461658735e+000	8.82037593156490e+001
2.23872113856830e-003	7.52915512161854e+000	8.81996212337190e+001
2.24388192378273e-003	7.54913553671026e+000	8.81954736310627e+001
2.24905460583574e-003	7.56911586148706e+000	8.81913164859273e+001
2.25423921215239e-003	7.58909609552107e+000	8.81871497763489e+001
2.25943577022094e-003	7.60907623843866e+000	8.81829734805117e+001
2.26464430759302e-003	7.62905628979145e+000	8.81787875763987e+001
2.26986485188378e-003	7.64903624916350e+000	8.81745920419807e+001
2.27509743077203e-003	7.66901611612753e+000	8.81703868552179e+001
2.28034207200038e-003	7.68899589024498e+000	8.81661719939731e+001
2.28559880337539e-003	7.70897557108669e+000	8.81619474360845e+001
2.29086765276773e-003	7.72895515827500e+000	8.81577131593641e+001
2.29614864811232e-003	7.74893465124933e+000	8.81534691414982e+001
2.30144181740847e-003	7.76891404977588e+000	8.81492153602304e+001
2.30674718872003e-003	7.78889335324651e+000	8.81449517930974e+001
2.31206479017555e-003	7.80887256129322e+000	8.81406784177744e+001
2.31739464996844e-003	7.82885167347035e+000	8.81363952117385e+001
2.32273679635706e-003	7.84883068935946e+000	8.81321021524625e+001
2.32809125766496e-003	7.86880960848451e+000	8.81277992174176e+001
2.33345806228096e-003	7.88878843037549e+000	8.81234863839475e+001
2.33883723865931e-003	7.90876715462987e+000	8.81191636293917e+001
2.34422881531988e-003	7.92874578080758e+000	8.81148309310374e+001
2.34963282084826e-003	7.94872430841041e+000	8.81104882660564e+001
2.35504928389596e-003	7.96870273698500e+000	8.81061356117146e+001
2.36047823318053e-003	7.98868106614406e+000	8.81017729450098e+001
2.36591969748571e-003	8.00865929535700e+000	8.80974002431259e+001
2.37137370566161e-003	8.02863742417918e+000	8.80930174830285e+001
2.37684028662483e-003	8.04861545218798e+000	8.80886246416758e+001
2.38231946935864e-003	8.06859337890034e+000	8.80842216959970e+001
2.38781128291313e-003	8.08857120383446e+000	8.80798086228191e+001
2.39331575640534e-003	8.10854892652930e+000	8.80753853990174e+001
2.39883291901944e-003	8.12852654648360e+000	8.80709520013053e+001
2.40436280000689e-003	8.14850406327712e+000	8.80665084063756e+001
2.40990542868655e-003	8.16848147638704e+000	8.80620545909015e+001
2.41546083444489e-003	8.18845878539108e+000	8.80575905314542e+001
2.42102904673613e-003	8.20843598976390e+000	8.80531162045964e+001
2.42661009508237e-003	8.22841308901873e+000	8.80486315868490e+001
2.43220400907377e-003	8.24839008270687e+000	8.80441366546273e+001
2.43781081836870e-003	8.26836697027640e+000	8.80396313842813e+001
2.44343055269392e-003	8.28834375135204e+000	8.80351157522215e+001
2.44906324184470e-003	8.30832042539505e+000	8.80305897346589e+001
2.45470891568498e-003	8.32829699186270e+000	8.80260533078435e+001
2.46036760414758e-003	8.34827345024801e+000	8.80215064479424e+001
2.46603933723429e-003	8.36824980015789e+000	8.80169491310957e+001
2.47172414501608e-003	8.38822604105508e+000	8.80123813333288e+001
2.47742205763323e-003	8.40820217237671e+000	8.80078030307431e+001
2.48313310529552e-003	8.42817819365360e+000	8.80032141991668e+001
2.48885731828234e-003	8.44815410438941e+000	8.79986148145540e+001
2.49459472694290e-003	8.46812990406121e+000	8.79940048527997e+001
2.50034536169638e-003	8.48810559215882e+000	8.79893842896722e+001
2.50610925303206e-003	8.50808116818396e+000	8.79847531008513e+001
2.51188643150953e-003	8.52805663164911e+000	8.79801112620748e+001
2.51767692775880e-003	8.54803198199993e+000	8.79754587489991e+001
2.52348077248052e-003	8.56800721867386e+000	8.79707955371672e+001
2.52929799644609e-003	8.58798234117662e+000	8.79661216020704e+001
2.53512863049785e-003	8.60795734900370e+000	8.79614369192190e+001
2.54097270554925e-003	8.62793224160228e+000	8.79567414640015e+001
2.54683025258499e-003	8.64790701848593e+000	8.79520352117670e+001
2.55270130266119e-003	8.66788167904231e+000	8.79473181378077e+001
2.55858588690559e-003	8.68785622289654e+000	8.79425902173800e+001
2.56448403651766e-003	8.70783064929916e+000	8.79378514256686e+001
2.57039578276881e-003	8.72780495788941e+000	8.79331017378241e+001
2.57632115700252e-003	8.74777914797066e+000	8.79283411288999e+001
2.58226019063454e-003	8.76775321909970e+000	8.79235695738830e+001
2.58821291515304e-003	8.78772717068686e+000	8.79187870478005e+001
2.59417936211876e-003	8.80770100224290e+000	8.79139935254957e+001
2.60015956316522e-003	8.82767471315105e+000	8.79091889818759e+001
2.60615354999884e-003	8.84764830285616e+000	8.79043733917197e+001
2.61216135439915e-003	8.86762177084463e+000	8.78995467297478e+001
2.61818300821893e-003	8.88759511649440e+000	8.78947089706058e+001
2.62421854338438e-003	8.90756833933565e+000	8.78898600889836e+001
2.63026799189532e-003	8.92754143865997e+000	8.78850000593793e+001
2.63633138582532e-003	8.94751441405839e+000	8.78801288563735e+001
